"filename", "language", "JavaScript", "JavaScript React", "JSON", "JSON with Comments", "Markdown", "XML", "CSS", "HTML", "comment", "blank", "total"
"/Users/junaid./Documents/GitHub/wrapify/pages/products/[slug].js", "JavaScript", 152, 0, 0, 0, 0, 0, 0, 0, 109, 11, 272
"/Users/junaid./Documents/GitHub/wrapify/pages/refund_return_policy.js", "JavaScript", 102, 0, 0, 0, 0, 0, 0, 0, 0, 4, 106
"/Users/junaid./Documents/GitHub/wrapify/pages/signup.js", "JavaScript", 133, 0, 0, 0, 0, 0, 0, 0, 1, 8, 142
"/Users/junaid./Documents/GitHub/wrapify/pages/skin/[brands]/[models]/[design]/index.js", "JavaScript", 113, 0, 0, 0, 0, 0, 0, 0, 286, 34, 433
"/Users/junaid./Documents/GitHub/wrapify/pages/skin/[brands]/[models]/customize.js", "JavaScript", 169, 0, 0, 0, 0, 0, 0, 0, 50, 41, 260
"/Users/junaid./Documents/GitHub/wrapify/pages/skin/[brands]/[models]/dadu/customize.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/junaid./Documents/GitHub/wrapify/pages/skin/[brands]/[models]/dadu/index.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/junaid./Documents/GitHub/wrapify/pages/skin/[brands]/[models]/index.js", "JavaScript", 74, 0, 0, 0, 0, 0, 0, 0, 1, 11, 86
"/Users/junaid./Documents/GitHub/wrapify/pages/skin/[brands]/index.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 0, 70, 16, 135
"/Users/junaid./Documents/GitHub/wrapify/pages/skin/index.js", "JavaScript", 73, 0, 0, 0, 0, 0, 0, 0, 5, 16, 94
"/Users/junaid./Documents/GitHub/wrapify/pages/skins.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 24, 16, 62
"/Users/junaid./Documents/GitHub/wrapify/pages/terms_and_condition.js", "JavaScript", 271, 0, 0, 0, 0, 0, 0, 0, 0, 3, 274
"/Users/junaid./Documents/GitHub/wrapify/pages/trackorder.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/junaid./Documents/GitHub/wrapify/pincode.json", "JSON", 0, 0, 381994, 0, 0, 0, 0, 0, 0, 18, 382012
"/Users/junaid./Documents/GitHub/wrapify/postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/junaid./Documents/GitHub/wrapify/public/icons/Internet.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Users/junaid./Documents/GitHub/wrapify/public/icons/bag.svg", "XML", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
"/Users/junaid./Documents/GitHub/wrapify/public/icons/cross.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"/Users/junaid./Documents/GitHub/wrapify/public/icons/payment.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Users/junaid./Documents/GitHub/wrapify/public/icons/rightarraw.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"/Users/junaid./Documents/GitHub/wrapify/public/vercel.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"/Users/junaid./Documents/GitHub/wrapify/styles/globals.css", "CSS", 0, 0, 0, 0, 0, 0, 7, 0, 0, 5, 12
"/Users/junaid./Documents/GitHub/wrapify/tailwind.config.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 4, 6, 41
"/Users/junaid./Documents/GitHub/wrapify/template/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 1165, 48, 122, 1335
"/Users/junaid./Documents/GitHub/wrapify/tsconfig.json", "JSON with Comments", 0, 0, 0, 20, 0, 0, 0, 0, 0, 1, 21
"Total", "-", 6033, 1138, 384459, 20, 18, 18, 7, 1165, 1474, 1160, 395492
